
alegria;;irã liberta viúva condenada ao apedrejamento, diz comitê internacional. a viúva iraniana sakineh mohammadi-ashtiani, condenada à morte por apedrejamento, foi libertada juntamente com o seu filho e o seu advogado, anunciou nesta quinta-feira (9) o comitê internacional contra apedrejamento, sediado na alemanha.
tristeza;;haiti sofre com cólera depois da passagem do furacão sandy. após a passagem do furacão sandy pelo haiti, o país vive as dificuldades da reconstrução, além de problemas causados pela contaminação da bactéria que causa o cólera.
surpresa;;mulher acorda e encontra crocodilo de 3 m e 27 ovos no jardim de casa. especialistas capturaram e transferiram animal para local adequado.
tristeza;;enchentes causam a morte de 4 pessoas em al: vítimas são mãe, filho, idosa de 100 anos e adolescente. defesa civil da capital já registrou mais de 30 ocorrências.
neutro;;sem detalhes do que será discutido, revisão do plano diretor começa na segunda (17). dez oficinas, 19 audiências públicas e canal interativo serão os meios de participação popular; ippuc pretende enviar plano revisado à câmara até o início de dezembro
neutro;;chávez apresenta neto de allende como companheiro da filha: pablo sepúlveda allende é médico e neto de salvador allende. maría, de 29 anos, é a segunda filha do primeiro casamento de chávez.
tristeza;;chefe do pc chinês de xinjiang ameaça executar envolvidos em protestos: forças do governo tomaram as ruas da capital da província, urumqi. confrontos entre uigures, chineses han e a polícia já mataram 156.
raiva;;jovem fingia ser modelo para aliciar crianças na web. guilherme donin é suspeito de chantagear menina de 12 anos na internet.
surpresa;;polícia encontra cocaína escondida em boneco do "shrek". a polícia militar da cidade de euclides da cunha, município 311 km distante de salvador, encontrou uma quantidade de cocaína dentro de um boneco do personagem shrek na terça-feira, 11, após uma série de denúncias anônimas.
surpresa;;aprende-se mais com o sucesso do que com o erro, indica estudo: testes de certo e errado foram aplicados a macacos em laboratório. reação neuronal é mais forte quando teste anterior rendeu recompensa.
surpresa;;avô luta contra tubarão de 2 metros para salvar netos em praia da austrália. a coragem do turista foi destaque em jornais do mundo todo.
neutro;;colômbia se diz disposta a atuar como mediadora na venezuela. presidente colombiano disse que poderia fazer este papel. ele destacou que evitará provocar caracas com seus comentários.
surpresa;;passageiro é flagrado com bagagem repleta de répteis na alemanha. homem viajava do méxico com destino à espanha. bagagem continha cobras, lagartos e diversas tartarugas.
surpresa;;formiga argentina emite substâncias para evitar ser enterrada viva: sinais desaparecem uma hora após a morte do inseto, afirma estudo. com remoção das moléculas, bichos vivos vão para lixão da colônia.
alegria;;carlinhos brown e guilherme arantes cantam para namorados na bahia: apresentação aconteceu na costa do sauípe nesta sexta-feira. brown surpreendeu com músicas românticas na madrugada de sábado.
neutro;;juiz aponta advogado para cuidar das finanças de óctuplos nos eua: mãe, nadya suleman, foi à audiência, mas não se pronunciou. reality show que filmaria sua rotina depende de aprovação da justiça.
medo;;moradores do pi ficam isolados após rompimento de barragem: governo usa helicópteros e embarcações para resgatar famílias. por medida de segurança, fornecimento de energia foi interrompido.
tristeza;;homem é morto com cerca de 40 tiros na zona norte de porto alegre. crime aconteceu por volta das 19h de segunda-feira (19) no bairro sarandi. segundo a polícia, três armas estavam envolvidas no homicídio.
neutro;;calouros escalam monumento coberto de banha em evento nos eua. jovens da academia naval de maryland fizeram torre humana em cerimônia. alunos sobem em obelisco de 6,4 m para marcar fim do ano de calouros.
medo;;mesmo com pandemia, população pode ficar tranquila, diz ministério da saúde: ministra interina informou que transmissão permanece limitada no país. segundo ela, há 52 casos de influenza a confirmados no brasil.
desgosto;;mais de 8 mil empresas japonesas quebraram no primeiro semestre do ano: somente em junho, 1.422 companhias quebraram, segundo pesquisa. japão sofre com recessão.
tristeza;;construção desaba e mata idoso de 68 anos em divinópolis. vítima chegou a ser encaminhada para o pronto-socorro, mas não resistiu. idoso estava na área interna da construção quando houve o desabamento.
surpresa;;testemunha capta explosão no texas em vídeo. explosão surpreende pai e filha que observavam à distância o incêndio em fábrica de fertilizantes próxima a waco.
tristeza;;turquia prende quatro suspeitos de ataque que matou 44 em casamento: noivos e clérigo que realizava a cerimônia estão entre as vítimas. governo descartou terrorismo e disse que trata-se de briga de família.
tristeza;;trabalho forçado gera lucros anuais de us$ 150 bilhões, segundo oit. mulher é principal vítima, explorada sexualmente e no trabalho doméstico. ao todo, 12 milhões de pessoas são forçadas ao trabalho na ásia.
neutro;;rússia lança nave soyuz rumo à estação espacial internacional (iss): canadense, belga e russo vão integrar tripulação do complexo orbital. habitantes fixos da iss, com isso, passarão a ser seis.
tristeza;;crianças morrem congeladas enquanto pais festejam ano novo. filhos do casal tinham dois e três anos e foram encontradas mortas no banheiro da casa.
neutro;;juventus cede empate à fiorentina e complica objetivo de jogar final em casa. após 1 a 1 em turim, time de florença passa a jogar por empate sem gols em casa para avançar às quartas de final da liga europa
tristeza;;motociclista morre após ser atingido por linha com cerol em mg: rapaz de 24 anos passava pela br-116, em governador valadares. segundo polícia, ele não tinha habilitação para dirigir motos.
alegria;;turistas têm aulas de cozinha tradicional árabe em petra: petra kitchen é mais uma grande brincadeira do que uma aula de fato. o trabalho é simples, mas o resultado no prato é excelente.
neutro;;deputados gaúchos coletam nas ruas assinaturas para cpi contra yeda: parlamentares querem apoio de eleitores para investigação. cpi precisa de mais duas assinaturas de deputados para ser criada.
surpresa;;cientistas criam técnica que permite enxergar o que há dentro do cérebro. método utiliza processos químicos e torna cérebro transparente.
medo;;militantes fazem barricada em torno de casa de líder na nigéria: extremistas islâmicos autodenominados talibã deixaram mais de cem mortos em ataques contra civis e policiais no fim de semana.
neutro;;alonso elogia ferrari e mostra confiança para estreia. depois de um ano tumultuado em seu relacionamento com a direção da ferrari, fernando alonso iniciou a temporada 2014, com os treinos livres desta sexta-feira, elogiando a equipe e exibindo confiança para a abertura do campeonato, domingo, no gp da austrália.
neutro;;deputado protocola pec que retoma obrigatoriedade do diploma de jornalismo: paulo pimenta (pt-rs) conseguiu 191 assinaturas na proposta. jornalismo é mais que simples prestação de informação, diz.
alegria;;homem que estuprou menina de 12 anos é preso. acusado de estuprar e engravidar uma garota de 12 anos, o lavrador edimilson rodrigues souza, o "baiano", de 56 anos, foi preso, no sábado (8/12).
medo;;trem descarrila ao partir da central do brasil. um trem da supervia descarrilou por volta das 18h45 desta quinta-feira, 13, logo após partir da estação ferroviária central do brasil, no centro do rio. ninguém se feriu, mas os passageiros precisaram desembarcar e voltar para a estação.
neutro;;após integração, marca itaú deve decorar fachadas das agências: itaú unibanco divulgou resultado do 1º trimestre nesta terça-feira. banco já fechou a financeira taií, para dar espaço à fininvest.
desgosto;;incêndio destrói fábrica de isopor em minas gerais: fogo atingiu galpões onde eram mantidos material de escritório e isopor. peritos vão determinar o que provocou as chamas.
